Date,Open,High,Low
1995-09-26,29.4,29.6,29.25
1995-09-27,29.3,29.7,29.29
1995-09-28,29.5,29.8,29.5
1995-09-29,29.9,29.92,29.65
1995-09-30,29.92,30.2,29.86
1995-10-01,30.65,30.65,30.25
1995-10-02,30.4,30.41,30
1995-10-03,30.5,31,30.5
1995-10-04,30.6,30.95,30.6
1995-10-05,30.7,30.86,30.65
1995-10-06,30.57,30.6,30.35
1995-10-07,30.56,30.8,30.55
1995-10-08,30.7,30.85,30.7
1995-10-09,30.65,30.77,30.6
1995-10-10,30.75,30.75,30.58
1995-10-11,30.62,30.85,30.62
1995-10-12,30.78,30.89,30.78
1995-10-13,30.81,30.85,30.69
1995-10-14,30.8,30.82,30.78
1995-10-15,30.73,30.9,30.68
1995-10-16,30.7,30.74,30.63
1995-10-17,30.66,30.72,30.57
1995-10-18,30.7,30.7,30.45
1995-10-19,30.5,30.55,30.39
1995-10-20,30.47,30.47,30.2
1995-10-21,30.4,30.43,29.95
1995-10-22,30.43,30.43,29.95
1995-10-23,30.1,30.4,30.1
1995-10-24,30.15,30.15,29.95
1995-10-25,29.75,29.85,29.64
1995-10-26,29.65,29.8,29.53
1995-10-27,29.87,30.12,29.85
1995-10-28,30,30.2,29.9
1995-10-29,29.78,29.78,29.25
1995-10-30,29.91,30,29.91
1995-10-31,30.1,30.66,30.1
1995-11-01,30.25,30.5,30.25
1995-11-02,30.05,30.07,29.95
1995-11-03,29.95,30.25,29.95
1995-11-04,30.3,30.5,30.3
1995-11-05,30.25,30.48,30.15
1995-11-06,30.05,30.45,30.05
1995-11-07,30.35,30.35,30.2
1995-11-08,30.45,30.45,30.4
1995-11-09,30.35,30.45,30.3
1995-11-10,30.3,30.35,30.3
1995-11-11,30.1,30.6,30.1
1995-11-12,30.59,30.71,30.59
1995-11-13,30.6,30.65,30.45
1995-11-14,30.55,30.8,30.55
1995-11-15,30.86,31.05,30.85
1995-11-16,31,31.25,31
1995-11-17,31.1,31.3,31.1
1995-11-18,31.3,31.65,31.3
1995-11-19,31.47,31.6,31.4
1995-11-20,31.37,31.58,31.37
1995-11-21,31.33,31.35,31.15
1995-11-22,31.2,31.2,30.85
1995-11-23,31.17,31.3,31.1
1995-11-24,31.09,31.24,31.05
1995-11-25,31.2,31.3,31.15
1995-11-26,31.05,31.25,31.05
1995-11-27,31.2,31.2,31.15
1995-11-28,31.25,31.4,31.25
1995-11-29,31.42,31.45,31.3
1995-11-30,31.3,31.3,31.23
1995-12-01,31.12,31.2,31
1995-12-02,31.25,31.4,31.25
1995-12-03,31.4,31.45,31.38
1995-12-04,31.5,31.64,31.5
1995-12-05,31.71,31.9,31.71
1995-12-06,31.89,31.92,31.8
1995-12-07,31.8,31.85,31.77
1995-12-08,31.8,31.85,31.7
1995-12-09,31.8,31.8,31.7
1995-12-10,31.62,31.62,31.43
1995-12-11,31.65,31.7,31.65
1995-12-12,31.6,31.6,31.5
1995-12-13,31.55,31.55,31.43
1995-12-14,31.35,31.45,31.35
1995-12-15,31.42,31.55,31.42
1995-12-16,31.75,31.8,31.65
1995-12-17,31.73,31.88,31.73
1995-12-18,31.92,32.02,31.9
1995-12-19,32.05,32.12,31.91
1995-12-20,32.23,32.35,32.23
1995-12-21,32.16,32.2,32.06
1995-12-22,32.3,32.3,32.17
1995-12-23,32.1,32.15,32.04
1995-12-24,32.05,32.05,32.03
1995-12-25,31.97,32.04,31.91
1995-12-26,32.12,32.23,32.12
1995-12-27,32.16,32.18,31.95
1995-12-28,31.95,32,31.95
1995-12-29,31.99,32.04,31.99
1995-12-30,31.98,32.01,31.98
1995-12-31,31.92,31.92,31.82
1996-01-01,31.89,31.9,31.7
1996-01-02,31.63,31.75,31.58
1996-01-03,31.5,31.62,31.5
1996-01-04,31.5,31.65,31.5
1996-01-05,31.77,31.8,31.55
1996-01-06,31.6,31.75,31.6
1996-01-07,31.75,31.81,31.75
1996-01-08,31.75,31.75,31.65
1996-01-09,31.65,31.7,31.56
1996-01-10,31.62,31.62,31.58
1996-01-11,31.57,31.6,31.53
1996-01-12,31.62,31.62,31.53
1996-01-13,31.48,31.48,31.31
1996-01-14,31.4,31.47,31.36
1996-01-15,31.2,31.35,31.2
1996-01-16,31.34,31.4,31.21
1996-01-17,31.22,31.27,31.14
1996-01-18,31.15,31.4,31.15
1996-01-19,31.14,31.55,31.14
1996-01-20,31.45,31.65,31.45
1996-01-21,31.51,31.56,31.4
1996-01-22,31.5,31.56,31.4
1996-01-23,31.47,31.5,31.3
1996-01-24,31.33,31.41,31.2
1996-01-25,31.3,31.42,31.3
1996-01-26,31.33,31.37,31.3
1996-01-27,31.26,31.3,31.2
1996-01-28,31.15,31.15,31.1
1996-01-29,30.72,31.06,30.72
1996-01-30,30.84,30.86,30.45
1996-01-31,30.55,30.55,30.2
1996-02-01,30.32,30.32,29.88
1996-02-02,29.78,30.43,29.7
1996-02-03,30.1,30.8,30.1
1996-02-04,30.14,30.35,30.14
1996-02-05,30.37,30.65,30.37
1996-02-06,30.75,30.85,30.75
1996-02-07,30.76,30.78,30.55
1996-02-08,30.41,30.57,30.41
1996-02-09,30.51,30.75,30.5
1996-02-10,30.73,30.73,30.5
1996-02-11,30.45,30.65,30.45
1996-02-12,30.57,30.68,30.57
1996-02-13,30.52,30.54,30.25
1996-02-14,30.21,30.3,30.15
1996-02-15,30.3,30.4,30.25
1996-02-16,30.42,30.48,30.39
1996-02-17,30.38,30.47,30.38
1996-02-18,30.23,30.3,30.18
1996-02-19,30.23,30.35,30.18
1996-02-20,30.23,30.43,30.23
1996-02-21,30.16,30.39,30.16
1996-02-22,30.42,30.42,30.31
1996-02-23,30.35,30.46,30.35
1996-02-24,30.39,30.48,30.39
1996-02-25,30.42,30.55,30.35
1996-02-26,30.41,30.46,30.36
1996-02-27,30.38,30.42,30.31
1996-02-28,30.35,30.48,30.35
1996-02-29,30.28,30.3,30.2
1996-03-01,30.31,30.31,30.1
1996-03-02,30.07,30.22,30.07
1996-03-03,30.08,30.25,30.08
1996-03-04,29.92,30.27,29.92
1996-03-05,28.98,28.98,28.98
1996-03-06,28.84,29.23,28.84
1996-03-07,29.07,29.26,29.05
1996-03-08,29.13,29.21,29.03
1996-03-09,29.18,29.28,29.11
1996-03-10,29.43,29.9,29.43
1996-03-11,29.33,29.7,29.33
1996-03-12,29.11,29.44,29.11
1996-03-13,29.25,29.38,29.25
1996-03-14,29.26,29.42,29.26
1996-03-15,29.4,29.4,29.27
1996-03-16,29.32,29.32,29.13
1996-03-17,29,29.15,29
1996-03-18,29.35,29.35,29.06
1996-03-19,29.23,29.35,29.23
1996-03-20,29.38,29.5,29.26
1996-03-21,29.2,29.3,29.2
1996-03-22,29.14,29.33,29.14
1996-03-23,29.21,29.23,29.08
1996-03-24,29.13,29.13,28.57
1996-03-25,28.27,28.42,28.27
1996-03-26,28.45,28.8,28.45
1996-03-27,28.73,29.3,28.73
1996-03-28,28.76,29.12,28.76
1996-03-29,29.15,29.5,29.15
1996-03-30,29.59,30.17,29.59
1996-03-31,29.62,30.07,29.62
1996-04-01,29.54,29.83,29.54
1996-04-02,29.36,29.8,29.36
1996-04-03,29.25,29.57,29.25
1996-04-04,29.44,29.7,29.44
1996-04-05,30,30.1,29.05
1996-04-06,28.95,29.44,28.95
1996-04-07,29.47,29.47,29.08
1996-04-08,29.32,29.65,29.32
1996-04-09,29.42,29.7,29.42
1996-04-10,29.35,29.54,29.35
1996-04-11,29.5,29.6,29.5
1996-04-12,29.71,29.84,29.7
1996-04-13,29.77,29.81,29.56
1996-04-14,29.4,29.95,29.4
1996-04-15,29.99,29.99,29.99
1996-04-16,29.8,30.01,29.8
1996-04-17,29.47,30.01,29.47
1996-04-18,29.48,29.74,29.4
1996-04-19,29.74,29.78,29.65
1996-04-20,29.64,30,29.64
1996-04-21,30.01,30.2,30
1996-04-22,29.85,30.12,29.85
1996-04-23,29.94,30.09,29.86
1996-04-24,30.17,30.31,30.15
1996-04-25,30.25,30.38,30.14
1996-04-26,30.25,30.29,30.09
1996-04-27,30.06,30.22,30.01
1996-04-28,30.15,30.16,30
1996-04-29,29.99,30.1,29.99
1996-04-30,29.99,30,29.78
1996-05-01,29.87,29.88,29.75
1996-05-02,29.81,29.85,29.57
1996-05-03,29.45,29.74,29.45
1996-05-04,29.6,29.9,29.6
1996-05-05,29.87,29.94,29.85
1996-05-06,29.77,29.98,29.75
1996-05-07,30.06,30.15,29.77
1996-05-08,29.86,29.88,29.75
1996-05-09,29.6,29.97,29.55
1996-05-10,29.95,30.13,29.88
1996-05-11,30.08,31.1,29.97
1996-05-12,30.57,30.74,30.29
1996-05-13,30.4,30.68,30.29
1996-05-14,30.81,30.85,30.67
1996-05-15,30.74,30.9,30.64
1996-05-16,30.68,30.8,30.66
1996-05-17,30.68,30.83,30.68
1996-05-18,30.76,30.79,30.6
1996-05-19,30.69,30.82,30.68
1996-05-20,30.85,30.99,30.85
1996-05-21,30.94,30.95,30.85
1996-05-22,30.83,30.93,30.83
1996-05-23,30.83,31,30.72
1996-05-24,30.91,31.05,30.83
1996-05-25,30.9,30.9,30.9
1996-05-26,30.24,30.5,30.13
1996-05-27,30.44,30.64,30.42
1996-05-28,30.58,30.64,30.4
1996-05-29,30.45,30.58,30.38
1996-05-30,30.56,30.67,30.55
1996-05-31,30.66,30.76,30.58
1996-06-01,30.57,30.78,30.56
1996-06-02,31,31.1,30.58
1996-06-03,30.78,30.88,30.74
1996-06-04,30.74,30.85,30.74
1996-06-05,30.81,30.82,30.74
1996-06-06,30.79,30.88,30.78
1996-06-07,30.77,30.85,30.75
1996-06-08,30.84,30.85,30.74
1996-06-09,30.75,30.76,30.66
1996-06-10,30.67,30.82,30.67
1996-06-11,30.65,30.82,30.65
1996-06-12,30.7,30.82,30.7
1996-06-13,30.79,30.81,30.7
1996-06-14,30.68,30.7,30.61
1996-06-15,30.63,30.76,30.63
1996-06-16,30.64,30.71,30.61
1996-06-17,30.51,30.55,30.42
1996-06-18,30.48,30.55,30.48
1996-06-19,30.52,30.67,30.5
1996-06-20,30.57,30.71,30.57
1996-06-21,30.55,30.61,30.55
1996-06-22,30.63,30.65,30.46
1996-06-23,30.41,30.45,30.35
1996-06-24,30.36,30.37,30.2
1996-06-25,30.3,30.31,30.22
1996-06-26,30.22,30.23,30.15
1996-06-27,30.14,30.24,30.1
1996-06-28,30.27,30.27,30.16
1996-06-29,30.24,30.31,30.16
1996-06-30,30.17,30.25,30.12
1996-07-01,30.22,30.35,30.22
1996-07-02,30.3,30.4,30.3
1996-07-03,30.31,30.39,30.3
1996-07-04,30.39,30.63,30.39
1996-07-05,30.67,30.71,30.55
1996-07-06,31.35,31.5,30.9
1996-07-07,30.83,30.9,30.67
1996-07-08,30.95,31,30.73
1996-07-09,31.2,31.21,30.8
1996-07-10,30.82,30.85,30.66
1996-07-11,30.57,30.64,30.5
1996-07-12,30.7,30.88,30.65
1996-07-13,30.89,30.96,30.85
1996-07-14,30.87,30.88,30.7
1996-07-15,30.61,30.92,30.6
1996-07-16,30.84,30.88,30.78
1996-07-17,30.86,30.88,30.59
1996-07-18,30.71,30.76,30.62
1996-07-19,30.74,30.78,30.68
1996-07-20,30.58,30.63,30.5
1996-07-21,30.44,30.48,30.38
1996-07-22,30.41,30.44,30.33
1996-07-23,30.34,30.38,30.09
1996-07-24,30.13,30.2,30.11
1996-07-25,29.98,30.11,29.95
1996-07-26,30.12,30.2,30.12
1996-07-27,30.12,30.12,30
1996-07-28,29.95,29.99,29.66
1996-07-29,29.9,29.95,29.76
1996-07-30,29.82,29.83,29.71
1996-07-31,29.66,29.68,29.32
1996-08-01,29.26,29.29,29.04
1996-08-02,29.3,29.55,29.29
1996-08-03,29.52,29.56,29.31
1996-08-04,29.28,29.35,29.18
1996-08-05,29.31,29.65,29.28
1996-08-06,29.54,29.8,29.47
1996-08-07,29.82,29.99,29.56
1996-08-08,29.5,29.53,29.41
1996-08-09,29.44,29.65,29.4
1996-08-10,29.6,29.69,29.57
1996-08-11,29.59,29.6,29.45
1996-08-12,29.41,29.5,29.36
